FUNCTION NAME,DESCRIPTION
"exec(object[, globals[, locals]])","This function supports dynamic execution of Python code. object must be
either a string or a code object.  If it is a string, the string is parsed as
a suite of Python statements which is then executed (unless a syntax error
occurs). 1 If it is a code object, it is simply executed.  In all cases,
the code that’s executed is expected to be valid as file input (see the
section “File input” in the Reference Manual). Be aware that the
return and yield statements may not be used outside of
function definitions even within the context of code passed to the
exec() function. The return value is None.
In all cases, if the optional parts are omitted, the code is executed in the
current scope.  If only globals is provided, it must be a dictionary
(and not a subclass of dictionary), which
will be used for both the global and the local variables.  If globals and
locals are given, they are used for the global and local variables,
respectively.  If provided, locals can be any mapping object.  Remember
that at module level, globals and locals are the same dictionary. If exec
gets two separate objects as globals and locals, the code will be
executed as if it were embedded in a class definition.
If the globals dictionary does not contain a value for the key
__builtins__, a reference to the dictionary of the built-in module
builtins is inserted under that key.  That way you can control what
builtins are available to the executed code by inserting your own
__builtins__ dictionary into globals before passing it to exec().
Raises an auditing event exec with the code object
as the argument. Code compilation events may also be raised.

Note
The built-in functions globals() and locals() return the current
global and local dictionary, respectively, which may be useful to pass around
for use as the second and third argument to exec().


Note
The default locals act as described for function locals() below:
modifications to the default locals dictionary should not be attempted.
Pass an explicit locals dictionary if you need to see effects of the
code on locals after function exec() returns."
"filter(function, iterable)","Construct an iterator from those elements of iterable for which function
returns true.  iterable may be either a sequence, a container which
supports iteration, or an iterator.  If function is None, the identity
function is assumed, that is, all elements of iterable that are false are
removed.
Note that filter(function, iterable) is equivalent to the generator
expression (item for item in iterable if function(item)) if function is
not None and (item for item in iterable if item) if function is
None.
See itertools.filterfalse() for the complementary function that returns
elements of iterable for which function returns false."
"format(value[, format_spec])","Convert a value to a “formatted” representation, as controlled by
format_spec.  The interpretation of format_spec will depend on the type
of the value argument, however there is a standard formatting syntax that
is used by most built-in types: Format Specification Mini-Language.
The default format_spec is an empty string which usually gives the same
effect as calling str(value).
A call to format(value, format_spec) is translated to
type(value).__format__(value, format_spec) which bypasses the instance
dictionary when searching for the value’s __format__() method.  A
TypeError exception is raised if the method search reaches
object and the format_spec is non-empty, or if either the
format_spec or the return value are not strings.

Changed in version 3.4: object().__format__(format_spec) raises TypeError
if format_spec is not an empty string."
"getattr(object, name[, default])","Return the value of the named attribute of object.  name must be a string.
If the string is the name of one of the object’s attributes, the result is the
value of that attribute.  For example, getattr(x, 'foobar') is equivalent to
x.foobar.  If the named attribute does not exist, default is returned if
provided, otherwise AttributeError is raised."
globals(),"Return a dictionary representing the current global symbol table. This is always
the dictionary of the current module (inside a function or method, this is the
module where it is defined, not the module from which it is called)."
"hasattr(object, name)","The arguments are an object and a string.  The result is True if the
string is the name of one of the object’s attributes, False if not. (This
is implemented by calling getattr(object, name) and seeing whether it
raises an AttributeError or not.)"
hash(object),"Return the hash value of the object (if it has one).  Hash values are
integers.  They are used to quickly compare dictionary keys during a
dictionary lookup.  Numeric values that compare equal have the same hash
value (even if they are of different types, as is the case for 1 and 1.0).

Note
For objects with custom __hash__() methods, note that hash()
truncates the return value based on the bit width of the host machine.
See __hash__() for details."
help([object]),"Invoke the built-in help system.  (This function is intended for interactive
use.)  If no argument is given, the interactive help system starts on the
interpreter console.  If the argument is a string, then the string is looked up
as the name of a module, function, class, method, keyword, or documentation
topic, and a help page is printed on the console.  If the argument is any other
kind of object, a help page on the object is generated.
Note that if a slash(/) appears in the parameter list of a function, when
invoking help(), it means that the parameters prior to the slash are
positional-only. For more info, see
the FAQ entry on positional-only parameters.
This function is added to the built-in namespace by the site module.

Changed in version 3.4: Changes to pydoc and inspect mean that the reported
signatures for callables are now more comprehensive and consistent."
hex(x),"Convert an integer number to a lowercase hexadecimal string prefixed with
“0x”. If x is not a Python int object, it has to define an
__index__() method that returns an integer. Some examples:
>>> hex(255)
'0xff'
>>> hex(-42)
'-0x2a'


If you want to convert an integer number to an uppercase or lower hexadecimal
string with prefix or not, you can use either of the following ways:
>>> '%#x' % 255, '%x' % 255, '%X' % 255
('0xff', 'ff', 'FF')
>>> format(255, '#x'), format(255, 'x'), format(255, 'X')
('0xff', 'ff', 'FF')
>>> f'{255:#x}', f'{255:x}', f'{255:X}'
('0xff', 'ff', 'FF')


See also format() for more information.
See also int() for converting a hexadecimal string to an
integer using a base of 16.

Note
To obtain a hexadecimal string representation for a float, use the
float.hex() method."
id(object),"Return the “identity” of an object.  This is an integer which
is guaranteed to be unique and constant for this object during its lifetime.
Two objects with non-overlapping lifetimes may have the same id()
value.

CPython implementation detail: This is the address of the object in memory."
input([prompt]),"If the prompt argument is present, it is written to standard output without
a trailing newline.  The function then reads a line from input, converts it
to a string (stripping a trailing newline), and returns that.  When EOF is
read, EOFError is raised.  Example:
>>> s = input('--> ')  
--> Monty Python's Flying Circus
>>> s  
""Monty Python's Flying Circus""


If the readline module was loaded, then input() will use it
to provide elaborate line editing and history features.
Raises an auditing event builtins.input with
argument prompt before reading input
Raises an auditing event builtins.input/result with the result after
successfully reading input."
"isinstance(object, classinfo)","Return True if the object argument is an instance of the classinfo
argument, or of a (direct, indirect or virtual) subclass thereof.  If object is not
an object of the given type, the function always returns False.
If classinfo is a tuple of type objects (or recursively, other such
tuples), return True if object is an instance of any of the types.
If classinfo is not a type or tuple of types and such tuples,
a TypeError exception is raised."
"issubclass(class, classinfo)","Return True if class is a subclass (direct, indirect or virtual) of classinfo.  A
class is considered a subclass of itself. classinfo may be a tuple of class
objects, in which case every entry in classinfo will be checked. In any other
case, a TypeError exception is raised."
"iter(object[, sentinel])","Return an iterator object.  The first argument is interpreted very
differently depending on the presence of the second argument. Without a
second argument, object must be a collection object which supports the
iteration protocol (the __iter__() method), or it must support the
sequence protocol (the __getitem__() method with integer arguments
starting at 0).  If it does not support either of those protocols,
TypeError is raised. If the second argument, sentinel, is given,
then object must be a callable object.  The iterator created in this case
will call object with no arguments for each call to its
__next__() method; if the value returned is equal to
sentinel, StopIteration will be raised, otherwise the value will
be returned.
See also Iterator Types.
One useful application of the second form of iter() is to build a
block-reader. For example, reading fixed-width blocks from a binary
database file until the end of file is reached:
from functools import partial
with open('mydata.db', 'rb') as f:
    for block in iter(partial(f.read, 64), b''):
        process_block(block)"
len(s),"Return the length (the number of items) of an object.  The argument may be a
sequence (such as a string, bytes, tuple, list, or range) or a collection
(such as a dictionary, set, or frozen set)."
locals(),"Update and return a dictionary representing the current local symbol table.
Free variables are returned by locals() when it is called in function
blocks, but not in class blocks. Note that at the module level, locals()
and globals() are the same dictionary.

Note
The contents of this dictionary should not be modified; changes may not
affect the values of local and free variables used by the interpreter."
"map(function, iterable, ...)","Return an iterator that applies function to every item of iterable,
yielding the results.  If additional iterable arguments are passed,
function must take that many arguments and is applied to the items from all
iterables in parallel.  With multiple iterables, the iterator stops when the
shortest iterable is exhausted.  For cases where the function inputs are
already arranged into argument tuples, see itertools.starmap()."
"max(iterable, *[, key, default])","Return the largest item in an iterable or the largest of two or more
arguments.
If one positional argument is provided, it should be an iterable.
The largest item in the iterable is returned.  If two or more positional
arguments are provided, the largest of the positional arguments is
returned.
There are two optional keyword-only arguments. The key argument specifies
a one-argument ordering function like that used for list.sort(). The
default argument specifies an object to return if the provided iterable is
empty. If the iterable is empty and default is not provided, a
ValueError is raised.
If multiple items are maximal, the function returns the first one
encountered.  This is consistent with other sort-stability preserving tools
such as sorted(iterable, key=keyfunc, reverse=True)[0] and
heapq.nlargest(1, iterable, key=keyfunc).

New in version 3.4: The default keyword-only argument.


Changed in version 3.8: The key can be None."
"min(iterable, *[, key, default])","Return the smallest item in an iterable or the smallest of two or more
arguments.
If one positional argument is provided, it should be an iterable.
The smallest item in the iterable is returned.  If two or more positional
arguments are provided, the smallest of the positional arguments is
returned.
There are two optional keyword-only arguments. The key argument specifies
a one-argument ordering function like that used for list.sort(). The
default argument specifies an object to return if the provided iterable is
empty. If the iterable is empty and default is not provided, a
ValueError is raised.
If multiple items are minimal, the function returns the first one
encountered.  This is consistent with other sort-stability preserving tools
such as sorted(iterable, key=keyfunc)[0] and heapq.nsmallest(1,
iterable, key=keyfunc).

New in version 3.4: The default keyword-only argument.


Changed in version 3.8: The key can be None."
"next(iterator[, default])","Retrieve the next item from the iterator by calling its
__next__() method.  If default is given, it is returned
if the iterator is exhausted, otherwise StopIteration is raised."
oct(x),"Convert an integer number to an octal string prefixed with “0o”.  The result
is a valid Python expression. If x is not a Python int object, it
has to define an __index__() method that returns an integer. For
example:
>>> oct(8)
'0o10'
>>> oct(-56)
'-0o70'


If you want to convert an integer number to octal string either with prefix
“0o” or not, you can use either of the following ways.
>>> '%#o' % 10, '%o' % 10
('0o12', '12')
>>> format(10, '#o'), format(10, 'o')
('0o12', '12')
>>> f'{10:#o}', f'{10:o}'
('0o12', '12')


See also format() for more information."
"open(file, mode='r', buffering=-1, encoding=None, errors=None, newline=None, closefd=True, opener=None)","Open file and return a corresponding file object.  If the file
cannot be opened, an OSError is raised.
file is a path-like object giving the pathname (absolute or
relative to the current working directory) of the file to be opened or an
integer file descriptor of the file to be wrapped.  (If a file descriptor is
given, it is closed when the returned I/O object is closed, unless closefd
is set to False.)
mode is an optional string that specifies the mode in which the file is
opened.  It defaults to 'r' which means open for reading in text mode.
Other common values are 'w' for writing (truncating the file if it
already exists), 'x' for exclusive creation and 'a' for appending
(which on some Unix systems, means that all writes append to the end of
the file regardless of the current seek position).  In text mode, if
encoding is not specified the encoding used is platform dependent:
locale.getpreferredencoding(False) is called to get the current locale
encoding. (For reading and writing raw bytes use binary mode and leave
encoding unspecified.)  The available modes are:






Character
Meaning



'r'
open for reading (default)

'w'
open for writing, truncating the file first

'x'
open for exclusive creation, failing if the file already exists

'a'
open for writing, appending to the end of the file if it exists

'b'
binary mode

't'
text mode (default)

'+'
open for updating (reading and writing)



The default mode is 'r' (open for reading text, synonym of 'rt').
Modes 'w+' and 'w+b' open and truncate the file.  Modes 'r+'
and 'r+b' open the file with no truncation.
As mentioned in the Overview, Python distinguishes between binary
and text I/O.  Files opened in binary mode (including 'b' in the mode
argument) return contents as bytes objects without any decoding.  In
text mode (the default, or when 't' is included in the mode argument),
the contents of the file are returned as str, the bytes having been
first decoded using a platform-dependent encoding or using the specified
encoding if given.
There is an additional mode character permitted, 'U', which no longer
has any effect, and is considered deprecated. It previously enabled
universal newlines in text mode, which became the default behaviour
in Python 3.0. Refer to the documentation of the
newline parameter for further details.

Note
Python doesn’t depend on the underlying operating system’s notion of text
files; all the processing is done by Python itself, and is therefore
platform-independent.

buffering is an optional integer used to set the buffering policy.  Pass 0
to switch buffering off (only allowed in binary mode), 1 to select line
buffering (only usable in text mode), and an integer > 1 to indicate the size
in bytes of a fixed-size chunk buffer.  When no buffering argument is
given, the default buffering policy works as follows:

Binary files are buffered in fixed-size chunks; the size of the buffer is
chosen using a heuristic trying to determine the underlying device’s “block
size” and falling back on io.DEFAULT_BUFFER_SIZE.  On many systems,
the buffer will typically be 4096 or 8192 bytes long.
“Interactive” text files (files for which isatty()
returns True) use line buffering.  Other text files use the policy
described above for binary files.

encoding is the name of the encoding used to decode or encode the file.
This should only be used in text mode.  The default encoding is platform
dependent (whatever locale.getpreferredencoding() returns), but any
text encoding supported by Python
can be used.  See the codecs module for
the list of supported encodings.
errors is an optional string that specifies how encoding and decoding
errors are to be handled—this cannot be used in binary mode.
A variety of standard error handlers are available
(listed under Error Handlers), though any
error handling name that has been registered with
codecs.register_error() is also valid.  The standard names
include:

'strict' to raise a ValueError exception if there is
an encoding error.  The default value of None has the same
effect.
'ignore' ignores errors.  Note that ignoring encoding errors
can lead to data loss.
'replace' causes a replacement marker (such as '?') to be inserted
where there is malformed data.
'surrogateescape' will represent any incorrect bytes as code
points in the Unicode Private Use Area ranging from U+DC80 to
U+DCFF.  These private code points will then be turned back into
the same bytes when the surrogateescape error handler is used
when writing data.  This is useful for processing files in an
unknown encoding.
'xmlcharrefreplace' is only supported when writing to a file.
Characters not supported by the encoding are replaced with the
appropriate XML character reference &#nnn;.
'backslashreplace' replaces malformed data by Python’s backslashed
escape sequences.
'namereplace' (also only supported when writing)
replaces unsupported characters with \N{...} escape sequences.

newline controls how universal newlines mode works (it only
applies to text mode).  It can be None, '', '\n', '\r', and
'\r\n'.  It works as follows:

When reading input from the stream, if newline is None, universal
newlines mode is enabled.  Lines in the input can end in '\n',
'\r', or '\r\n', and these are translated into '\n' before
being returned to the caller.  If it is '', universal newlines mode is
enabled, but line endings are returned to the caller untranslated.  If it
has any of the other legal values, input lines are only terminated by the
given string, and the line ending is returned to the caller untranslated.
When writing output to the stream, if newline is None, any '\n'
characters written are translated to the system default line separator,
os.linesep.  If newline is '' or '\n', no translation
takes place.  If newline is any of the other legal values, any '\n'
characters written are translated to the given string.

If closefd is False and a file descriptor rather than a filename was
given, the underlying file descriptor will be kept open when the file is
closed.  If a filename is given closefd must be True (the default)
otherwise an error will be raised.
A custom opener can be used by passing a callable as opener. The underlying
file descriptor for the file object is then obtained by calling opener with
(file, flags). opener must return an open file descriptor (passing
os.open as opener results in functionality similar to passing
None).
The newly created file is non-inheritable.
The following example uses the dir_fd parameter of the
os.open() function to open a file relative to a given directory:
>>> import os
>>> dir_fd = os.open('somedir', os.O_RDONLY)
>>> def opener(path, flags):
...     return os.open(path, flags, dir_fd=dir_fd)
...
>>> with open('spamspam.txt', 'w', opener=opener) as f:
...     print('This will be written to somedir/spamspam.txt', file=f)
...
>>> os.close(dir_fd)  # don't leak a file descriptor


The type of file object returned by the open() function
depends on the mode.  When open() is used to open a file in a text
mode ('w', 'r', 'wt', 'rt', etc.), it returns a subclass of
io.TextIOBase (specifically io.TextIOWrapper).  When used
to open a file in a binary mode with buffering, the returned class is a
subclass of io.BufferedIOBase.  The exact class varies: in read
binary mode, it returns an io.BufferedReader; in write binary and
append binary modes, it returns an io.BufferedWriter, and in
read/write mode, it returns an io.BufferedRandom.  When buffering is
disabled, the raw stream, a subclass of io.RawIOBase,
io.FileIO, is returned.
See also the file handling modules, such as, fileinput, io
(where open() is declared), os, os.path, tempfile,
and shutil.
Raises an auditing event open with arguments file, mode, flags.
The mode and flags arguments may have been modified or inferred from
the original call.


Changed in version 3.3: 
The opener parameter was added.
The 'x' mode was added.
IOError used to be raised, it is now an alias of OSError.
FileExistsError is now raised if the file opened in exclusive
creation mode ('x') already exists.





Changed in version 3.4: 
The file is now non-inheritable.




Deprecated since version 3.4, will be removed in version 3.9: The 'U' mode.



Changed in version 3.5: 
If the system call is interrupted and the signal handler does not raise an
exception, the function now retries the system call instead of raising an
InterruptedError exception (see PEP 475 for the rationale).
The 'namereplace' error handler was added.





Changed in version 3.6: 
Support added to accept objects implementing os.PathLike.
On Windows, opening a console buffer may return a subclass of
io.RawIOBase other than io.FileIO."
ord(c),"Given a string representing one Unicode character, return an integer
representing the Unicode code point of that character.  For example,
ord('a') returns the integer 97 and ord('€') (Euro sign)
returns 8364.  This is the inverse of chr()."
"pow(base, exp[, mod])","Return base to the power exp; if mod is present, return base to the
power exp, modulo mod (computed more efficiently than
pow(base, exp) % mod). The two-argument form pow(base, exp) is
equivalent to using the power operator: base**exp.
The arguments must have numeric types.  With mixed operand types, the
coercion rules for binary arithmetic operators apply.  For int
operands, the result has the same type as the operands (after coercion)
unless the second argument is negative; in that case, all arguments are
converted to float and a float result is delivered.  For example, 10**2
returns 100, but 10**-2 returns 0.01.
For int operands base and exp, if mod is present, mod must
also be of integer type and mod must be nonzero. If mod is present and
exp is negative, base must be relatively prime to mod. In that case,
pow(inv_base, -exp, mod) is returned, where inv_base is an inverse to
base modulo mod.
Here’s an example of computing an inverse for 38 modulo 97:
>>> pow(38, -1, mod=97)
23
>>> 23 * 38 % 97 == 1
True



Changed in version 3.8: For int operands, the three-argument form of pow now allows
the second argument to be negative, permitting computation of modular
inverses.


Changed in version 3.9: Allow keyword arguments.  Formerly, only positional arguments were
supported."
"print(*objects, sep=' ', end='\n', file=sys.stdout, flush=False)","Print objects to the text stream file, separated by sep and followed
by end.  sep, end, file and flush, if present, must be given as keyword
arguments.
All non-keyword arguments are converted to strings like str() does and
written to the stream, separated by sep and followed by end.  Both sep
and end must be strings; they can also be None, which means to use the
default values.  If no objects are given, print() will just write
end.
The file argument must be an object with a write(string) method; if it
is not present or None, sys.stdout will be used.  Since printed
arguments are converted to text strings, print() cannot be used with
binary mode file objects.  For these, use file.write(...) instead.
Whether output is buffered is usually determined by file, but if the
flush keyword argument is true, the stream is forcibly flushed.

Changed in version 3.3: Added the flush keyword argument."
repr(object),"Return a string containing a printable representation of an object.  For many
types, this function makes an attempt to return a string that would yield an
object with the same value when passed to eval(), otherwise the
representation is a string enclosed in angle brackets that contains the name
of the type of the object together with additional information often
including the name and address of the object.  A class can control what this
function returns for its instances by defining a __repr__() method."
reversed(seq),"Return a reverse iterator.  seq must be an object which has
a __reversed__() method or supports the sequence protocol (the
__len__() method and the __getitem__() method with integer
arguments starting at 0)."
"round(number[, ndigits])","Return number rounded to ndigits precision after the decimal
point.  If ndigits is omitted or is None, it returns the
nearest integer to its input.
For the built-in types supporting round(), values are rounded to the
closest multiple of 10 to the power minus ndigits; if two multiples are
equally close, rounding is done toward the even choice (so, for example,
both round(0.5) and round(-0.5) are 0, and round(1.5) is
2).  Any integer value is valid for ndigits (positive, zero, or
negative).  The return value is an integer if ndigits is omitted or
None.
Otherwise the return value has the same type as number.
For a general Python object number, round delegates to
number.__round__.

Note
The behavior of round() for floats can be surprising: for example,
round(2.675, 2) gives 2.67 instead of the expected 2.68.
This is not a bug: it’s a result of the fact that most decimal fractions
can’t be represented exactly as a float.  See Floating Point Arithmetic:  Issues and Limitations for
more information."
"setattr(object, name, value)","This is the counterpart of getattr().  The arguments are an object, a
string and an arbitrary value.  The string may name an existing attribute or a
new attribute.  The function assigns the value to the attribute, provided the
object allows it.  For example, setattr(x, 'foobar', 123) is equivalent to
x.foobar = 123."
"sorted(iterable, *, key=None, reverse=False)","Return a new sorted list from the items in iterable.
Has two optional arguments which must be specified as keyword arguments.
key specifies a function of one argument that is used to extract a comparison
key from each element in iterable (for example, key=str.lower).  The
default value is None (compare the elements directly).
reverse is a boolean value.  If set to True, then the list elements are
sorted as if each comparison were reversed.
Use functools.cmp_to_key() to convert an old-style cmp function to a
key function.
The built-in sorted() function is guaranteed to be stable. A sort is
stable if it guarantees not to change the relative order of elements that
compare equal — this is helpful for sorting in multiple passes (for
example, sort by department, then by salary grade).
For sorting examples and a brief sorting tutorial, see Sorting HOW TO."
@staticmethod,"Transform a method into a static method.
A static method does not receive an implicit first argument. To declare a static
method, use this idiom:
class C:
    @staticmethod
    def f(arg1, arg2, ...): ...


The @staticmethod form is a function decorator – see
Function definitions for details.
A static method can be called either on the class (such as C.f()) or on an instance (such
as C().f()).
Static methods in Python are similar to those found in Java or C++. Also see
classmethod() for a variant that is useful for creating alternate class
constructors.
Like all decorators, it is also possible to call staticmethod as
a regular function and do something with its result.  This is needed
in some cases where you need a reference to a function from a class
body and you want to avoid the automatic transformation to instance
method.  For these cases, use this idiom:
class C:
    builtin_open = staticmethod(open)


For more information on static methods, see The standard type hierarchy."
